year,country,life_evaluation,gdp_per_capita,pm2_5,intentional_homicide_rate,healthy_life_expectancy,degree_of_urbanization,sdg_index_score
2011,Syria,4.735,,,,,,
2011,Taiwan Province of China,5.988,,,,,,
2011,Tajikistan,4.614,2572.480748954979,32.6607402415778,1.61026778305936,62.17734621,81.092,64.45590089285714
2011,Tanzania,3.8,2779.70776367188,24.0450043955925,9.01381068307978,,,53.94507082590612
2011,Thailand,5.804,16768.168854248648,27.0474933399381,4.79225300638159,66.20724983,57.595,70.74647203548086
2011,Togo,3.007,2246.5620452267895,34.3810861525479,,52.31667002,72.281,48.22205396825397
2011,Trinidad and Tobago,6.263,34769.76202513761,14.0082614945374,25.2332824127606,64.00174931,87.022,59.18570154364154
2011,Tunisia,5.141,12068.713625766673,19.2235168460425,,65.85578445,68.825,68.22672436125966
2011,Turkmenistan,6.568,9837.563455134583,33.5785187835555,1.75950488940016,61.06037968,74.011,55.37427469474969
2011,Türkiye,5.234,,,,66.47082466,80.589,67.81522298975537
2011,Uganda,4.313,2384.465327315405,34.1383520886805,11.2518403976957,52.87313258,56.969,48.76917693452381
2011,Ukraine,5.089,17783.95703125,19.5134164241427,,61.8131051,74.319,70.42142128149628
2011,United Arab Emirates,6.977,73190.4056300014,57.1500411170482,0.708390053731386,68.87477264,90.429,62.84560887021474
2011,United Kingdom,6.936,47714.28942628269,13.017005115073,1.00772665754522,,85.49,79.85965456406339
2011,United States,7.27,60253.20357967189,9.43462500241397,4.66754631709583,,,74.09867432045078
2011,Uruguay,5.898,26099.31164877044,12.548000498889,5.98168012770136,66.55796,85.799,73.27693201112615
2011,Uzbekistan,5.225,6170.841497475337,33.5094666610887,,59.53182238,84.641,65.49302568681318
2011,Venezuela,6.922,,,,,,
2011,Viet Nam,5.425,7652.61895672271,30.8272434335264,1.53501286347562,64.51306762,85.736,
2011,Yemen,4.454,,,,58.40834135,82.004,
2011,Zambia,4.705,3335.6433950065702,22.4770513593954,5.9773668355394,50.46861683,51.868,47.49236191829004
